f,I/I_max
1,0.09523809524
2,0.2324929972
2.8,0.4845938375
3,0.5966386555
3.16,0.7030812325
3.163,0.7058823529
3.17,0.7114845938
3.18,0.7198879552
3.2,0.7338935574
3.3,0.81232493
3.5,0.9495798319
3.62,0.9915966387
3.64,0.9971988796
3.646,0.9971988796
3.65,1
3.67,1
3.8,0.9719887955
4,0.8655462185
4.2,0.7450980392
4.25,0.7142857143
4.27,0.7058823529
4.5,0.5882352941
5,0.4285714286
5.5,0.3333333333
7,0.2016806723
10,0.1120448179
