f,I
10,0.4
7,0.72
5.5,1.19
5,1.53
4.5,2.1
4.27,2.52
4.25,2.55
4.2,2.66
4,3.09
3.8,3.47
3.67,3.57
3.65,3.57
3.646,3.56
3.64,3.56
3.62,3.54
3.5,3.39
3.3,2.9
3.2,2.62
3.18,2.57
3.17,2.54
3.163,2.52
3.16,2.51
3,2.13
2.8,1.73
2,0.83
1,0.34
