f,I/I_max
1,0.1174496644
1.5,0.2013422819
2,0.3456375839
2.4,0.567114094
2.5,0.6476510067
2.56,0.6979865772
2.6,0.7382550336
2.7,0.8322147651
2.8,0.9194630872
2.9,0.9765100671
2.95,0.9865771812
3,1
3.1,0.966442953
3.2,0.8993288591
3.3,0.8187919463
3.4,0.7382550336
3.46,0.6979865772
3.5,0.6711409396
3.6,0.6073825503
4,0.4362416107
5,0.255033557
7,0.1409395973
