f,theta
1,-1.284744885
1.5,-1.092746421
2,-0.8214144026
2.4,-0.5121084825
2.5,-0.42350006
2.56,-0.3671738338
2.6,-0.3326196916
2.7,-0.237374247
2.8,-0.1413860684
2.9,-0.04807289916
2.95,0
3,0.04359651939
3.1,0.131186656
3.2,0.2131310278
3.3,0.2944620446
3.4,0.3765817505
3.46,0.4083680179
3.5,0.4352576729
3.6,0.5005072627
4,0.7022569315
5,0.9951117968
7,1.235673613
