f,I
10,0.4
8,0.58
6,1
5,1.64
4.5,2.45
4.3,3.07
4.2,3.51
4.1,4.11
4,4.91
3.91,5.86
3.9,5.97
3.8,7.35
3.7,8.46
3.68,8.42
3.68,8.59
3.66,8.6
3.64,8.59
3.62,8.53
3.61,8.49
3.58,8.16
3.56,7.9
3.54,7.67
3.52,7.38
3.5,7.05
3.48,6.76
3.44,6.16
3.43,6.04
3.424,5.95
3.42,5.91
3.4,5.62
3.36,5.14
3.32,4.69
3.25,4.05
3.2,3.68
3.15,3.34
3.1,3.07
3,2.6
2.9,2.24
2.7,1.73
2.4,1.25
2,0.85
1.5,0.55
1,0.34
0.1,0.04
