epsilon,sigma
0,40.01827699
0.0002061469265,45.35092251
0.0004145844578,51.48787744
0.0006226054473,57.71678413
0.0008308345827,64.03541442
0.001039272114,70.43829735
0.001247293103,76.88202343
0.001455522239,83.30895866
0.001663751624,89.71721308
0.00187198076,96.09465112
0.002080418041,102.4462066
0.002288647426,108.7560237
0.002496876562,115.0026363
0.002704897551,121.1681596
0.002913125937,127.2144559
0.003121564218,133.0410189
0.003329585207,138.6699711
0.003538023488,143.8010867
0.003746044478,148.4849371
0.00395448026,152.8307623
0.004162711144,156.9796531
0.004370732134,161.1139216
0.00457896052,165.2819906
0.004787188906,169.5311889
0.00499541979,173.2836049
0.005203855572,176.7140305
0.005412086457,179.9042714
0.005620314843,182.98573
0.005828335832,185.6447117
0.006036564218,188.2184262
0.006245002499,190.8124926
0.006453023488,193.3468759
0.006661461769,195.7857066
0.006869482759,198.0926376
0.007077918541,200.2658586
0.007286149425,202.2934925
0.007494170415,204.1906195
0.007702606197,205.9884735
0.007910627186,207.6914314
0.008118858071,209.3293347
0.008327293853,210.9336165
0.008535524738,212.4887592
0.008743753123,214.0377347
0.008951774113,215.559057
0.009160212394,217.0684427
0.00936844078,218.5702686
0.009576669165,220.0520011
0.00978490005,221.5269695
0.009992921039,222.9999485
0.01020135682,224.44985
0.01040958771,225.8432516
0.01061781609,227.2987235
0.01082604448,228.7543944
0.01103406547,230.2054896
0.01124250375,231.6374862
0.01145073213,233.0661008
0.01165875312,234.4913333
0.0118671914,235.9046292
0.01207521239,237.3278723
0.01228365067,238.7425608
0.01249187906,240.1471031
0.01270010745,241.5621895
0.01290833833,242.9695171
0.01311635682,244.3718711
0.01332458771,245.7803923
0.01353302349,247.1755844
0.01374104698,248.5745563
0.01394948526,249.9733293
0.01415750375,251.3683224
0.01436594203,252.768687
0.01457417041,254.1529371
0.0147824013,255.5405692
0.01499062969,256.9337718
0.01519886057,258.3184198
0.01540708896,259.7118213
0.01561531734,261.1109922
0.01582354573,262.2849589
0.01603177661,263.7915594
0.0162397951,265.1885419
0.01644823338,266.5733888
0.01665646177,267.9707692
0.01686469265,269.3524331
0.01707292354,270.7504103
0.01728094203,272.1448066
0.01748917291,273.5310461
0.0176976087,274.9250445
0.01790583958,276.3132735
0.01811406797,277.6999109
0.01832208896,279.0927156
0.01853052724,280.4747773
0.01873875562,281.8618127
0.01894698401,283.2442723
0.01915521489,284.6177794
0.01936323338,286.0034222
0.01957167166,287.3860807
0.01977990255,288.7546143
0.01998792354,290.1430422
0.02019636182,291.5235124
0.0204045902,292.9073647
0.02061281859,294.2876359
0.02082104698,295.6639283
0.02102927786,297.0449953
0.02123750625,298.4260623
0.02144552724,299.8017579
0.02165375562,301.1951594
0.0218621939,302.5786137
0.02207042229,303.9602776
0.02227865317,305.3413446
0.02248667166,306.7110718
0.02269510995,308.0998976
0.02290334083,309.4817604
0.02311136182,310.8590475
0.0233198001,312.2460829
0.02352781859,313.6255583
0.02373625687,315.0074211
0.02394448526,316.3880902
0.02415250875,317.7586132
0.02436094453,319.1516169
0.02456917541,320.5293019
0.0247774038,321.9091752
0.02498563218,323.3091419
0.02519385307,324.6993603
0.02540209895,326.0899766
0.02561011994,327.483776
0.02581854073,328.8708114
0.02602678661,330.2735633
0.0262350075,331.6596039
0.02644322839,333.0470371
0.02665124938,334.4527731
0.02685969515,335.8501535
0.02706791604,337.2626536
0.02727616192,338.6614266
0.02748438281,340.0492577
0.0276926037,341.3187174
0.02790084958,342.7916964
0.02810907046,344.2081754
0.02831709145,345.6351984
0.02852553723,347.0411333
0.02873375812,348.4592039
0.02894197901,349.8478308
0.02915022489,349.4662568
0.02935844578,345.8641825
0.02956689155,291.2835864
0.02977491254,272.9740038
0.02998313343,269.7085423
0.03075462269,279.9869674
0.03158753123,280.8406348
0.03242046477,281.7639324
0.03325337331,281.5596172
0.03408650675,280.6607897
0.03491921539,279.4677244
0.03575232384,279.4541963
0.03658503248,280.1485097
0.03741796602,281.6608796
0.03825107446,277.8632437
0.039084008,275.6221431
0.03991671664,275.7910463
0.04074962519,275.6706854
0.04158253373,278.3820888
0.04241566717,284.7361509
0.04324857571,285.4650806
0.04408128436,274.8458649
0.04491421789,273.2545144
0.04574712644,274.0980356
0.04658003498,274.4881642
0.04741296852,276.2498104
0.04824587706,281.556832
0.04907901049,287.989079
0.04991171914,293.4439158
0.05074482759,297.6034302
0.05157753623,301.1728777
0.05241066967,304.3382706
0.05324337831,307.2597585
0.05407651174,310.0553151
0.05490942029,312.7901938
0.05574232884,315.4932416
0.05657503748,318.091446
0.05740817091,320.6222086
0.05824087956,323.0487246
0.05907401299,325.5249766
0.05990672164,327.9268236
0.06073963018,330.2689876
0.06157253873,332.4712941
0.06240567216,334.7529791
0.06323858071,336.9359881
0.06407128936,339.0869672
0.06490422289,341.1486205
0.06573713143,343.1704851
0.06657026487,345.1360487
0.06740317341,347.0158675
0.06823588206,348.801586
0.06906921539,350.5188678
0.06990172414,352.1595563
0.07073505747,353.7578698
0.07156776612,355.3136094
0.07240067466,356.8293613
0.07323338331,358.3097012
0.07406651674,359.7452788
0.07489922539,361.1583757
0.07573255872,362.5768442
0.07656504248,363.9660679
0.07739817591,365.3168955
0.07823108446,366.6543938
0.07906401799,367.9875154
0.07989672664,369.2919891
0.08072983508,370.6020332
0.08156254373,371.8834295
0.08239567716,373.1314032
0.08322858571,374.4185688
0.08406151924,375.671715
0.08489442779,376.8874598
0.08572756122,378.1109634
0.08656004498,379.3103949
0.08739337831,380.5034601
0.08822608696,381.6776257
0.08905922039,382.8513934
0.08989192904,384.0048689
0.09072483758,385.1314869
0.09155797101,386.2672564
0.09239087956,387.3674149
0.09322358821,388.4874678
0.09405672164,389.5727056
0.09488943028,390.6408342
0.09572256372,391.7031935
0.09655527236,392.7514277
0.09738818091,393.7897148
0.09822088956,394.8093011
0.09905402299,395.8215266
0.09988693153,396.8427045
0.100720065,397.8358313
0.1015527736,398.8100585
0.1023858821,399.7785163
0.1032185907,400.736828
0.1040517241,401.6953387
0.1048844328,402.633955
0.1057173413,403.5642156
0.1065502749,404.4791576
0.1073831834,405.3746031
0.108216092,406.2853672
0.1090492254,407.1782265
0.109881934,408.0434325
0.1107150675,408.9197794
0.1115477761,409.7714573
0.1123808846,410.6147796
0.1132135932,411.4396001
0.1140465267,412.2656142
0.1148794353,413.0798907
0.1157123438,413.8780527
0.1165452774,414.6817852
0.1173784108,415.4759684
0.1182110945,416.2470741
0.1190442279,417.0106199
0.1198769365,417.7500936
0.12071007,418.5019017
0.1215427786,419.2541078
0.1223758871,419.9802522
0.1232088206,420.7002294
0.1240417291,421.3979249
0.1248744378,422.1127295
0.1257075712,422.8134091
0.1265402799,423.502749
0.1273733883,424.1777649
0.128206097,424.8372632
0.1290390305,425.4935784
0.129871939,426.1391506
0.1307048476,426.7759693
0.1315377811,427.4117933
0.1323706897,428.0378691
0.1332038231,428.6663322
0.1340367316,429.2776861
0.1348694403,429.8800876
0.1357025737,430.4801017
0.1365352824,431.0498764
0.1373683908,431.6389486
0.1382013243,432.2208589
0.1390342329,432.7779012
0.1398671414,433.3335509
0.140700075,433.8802481
0.1415329835,434.4243591
0.142365917,434.9736426
0.1431986007,435.5006444
0.1440317341,436.0196884
0.1448644428,436.529979
0.1456975762,437.031516
0.1465302849,437.5306657
0.1473631934,438.0212608
0.1481961269,438.5040971
0.1490290355,438.9889228
0.1498621439,439.4713613
0.1506950775,439.949025
0.1515277861,440.4073913
0.1523609195,440.8591924
0.1531936032,441.298659
0.1540267366,441.7476748
0.1548594453,442.1875393
0.1556925787,442.6226291
0.1565254873,443.0493633
0.1573583958,443.4556063
0.1581911294,443.8839321
0.1590242379,444.3015148
0.1598571464,444.7021874
0.16069008,445.1002737
0.1615229885,445.4798582
0.1623558971,445.8701857
0.1631886057,446.2455925
0.164021939,446.6211981
0.1648546727,446.9928249
0.1656875812,447.3497299
0.1665204898,447.7317018
0.1673534233,448.0892035
0.1681861069,448.4363603
0.1690192404,448.7805328
0.169851949,449.1125698
0.1706850825,449.4585329
0.171517991,449.7943498
0.1723511244,450.1166386
0.1731838331,450.4433041
0.1740165417,450.7492795
0.1748496502,451.0661968
0.1756825837,451.3874908
0.1765152924,451.6990366
0.1773484258,451.9986458
0.1781813343,452.2833342
0.1790144428,452.5799592
0.1798469515,452.8650455
0.180680085,453.1485402
0.1815129935,453.425072
0.1823461269,453.7041899
0.1831788356,453.9825121
0.1840117441,454.2520808
0.1848444528,454.5156812
0.1856777861,454.7729154
0.1865102949,455.0231865
0.1873434033,455.2853943
0.1881761119,455.5346707
0.1890094453,455.7839472
0.1898421789,456.0248679
0.1906750875,456.2522606
0.191507996,456.494375
0.1923409295,456.7327096
0.1931738381,456.9616937
0.1940067466,457.1890864
0.1948396552,457.3969825
0.1956725887,457.6217889
0.1965052974,457.8286903
0.1973384058,458.0431516
0.1981713393,458.2448805
0.1990042479,458.4464104
0.1998371564,458.6618664
0.2006702899,458.8626006
0.2015027986,459.0609474
0.2023363318,459.2388031
0.2031688156,459.4198418
0.2040017491,459.6207749
0.2048346577,459.8091746
0.2056677911,459.9856377
0.2065006997,460.17165
0.2073334083,460.3327944
0.2081663418,460.517812
0.2089996752,460.6904951
0.209831959,460.8588015
0.2106652924,461.0251184
0.2114978011,461.1731325
0.2123311344,461.3334811
0.2131638431,461.4858719
0.2139967516,461.6358755
