epsilon,sigma
0.02394448526,323.9638402
0.02415250875,325.4332809
0.02436094453,326.9264517
0.02456917541,328.4044425
0.0247774038,329.8852488
0.02498563218,331.3872252
0.02519385307,332.8797883
0.02540209895,334.3733465
0.02561011994,335.8706748
0.02581854073,337.3617758
0.02602678661,338.8695228
0.0262350075,340.3606961
0.02644322839,341.8538759
0.02665124938,343.3663574
0.02685969515,344.8709863
0.02706791604,346.3916508
0.02727616192,347.8988106
0.02748438281,349.3953017
0.0276926037,350.7707213
0.02790084958,352.3558759
0.02810907046,353.8835472
0.02831709145,355.4225819
0.02852553723,356.9406681
0.02873375812,358.4717464
0.02894197901,359.9731193
0.02915022489,359.6532768
0.02935844578,356.0182174
0.02956689155,299.8959366
0.02977491254,281.1017809
0.02998313343,277.7952495
0.03075462269,288.597861
0.03158753123,289.7116971
0.03242046477,290.89885
0.03325337331,290.9224243
0.03408650675,290.2275356
0.03491921539,289.2265181
0.03575232384,289.4453332
0.03658503248,290.397752
0.03741796602,292.2000568
0.03825107446,288.4918113
0.039084008,286.3945612
0.03991671664,286.7997194
0.04074962519,286.9041625
0.04158253373,289.9579214
0.04241566717,296.8134247
0.04324857571,297.8110387
0.04408128436,286.9614236
0.04491421789,285.5275272
0.04574712644,286.6372331
0.04658003498,287.2738324
0.04741296852,289.347634
0.04824587706,295.1407883
0.04907901049,302.1232981
0.04991171914,308.0902061
0.05074482759,312.705265
0.05157753623,316.7066327
0.05241066967,320.2888431
0.05324337831,323.619306
0.05407651174,326.8220249
0.05490942029,329.965322
0.05574232884,333.0795696
0.05657503748,336.0874815
0.05740817091,339.0285431
0.05824087956,341.8633665
0.05907401299,344.7550433
0.05990672164,347.5718446
0.06073963018,350.3294037
0.06157253873,352.9423957
0.06240567216,355.6434638
0.06323858071,358.2433418
0.06407128936,360.8127064
0.06490422289,363.2906066
0.06573713143,365.7295284
0.06657026487,368.1118468
0.06740317341,370.4058382
0.06823588206,372.6023698
0.06906921539,374.728931
0.06990172414,376.7761165
0.07073505747,378.7809531
0.07156776612,380.7426107
0.07240067466,382.6640478
0.07323338331,384.5499329
0.07406651674,386.3903585
0.07489922539,388.2088583
0.07573255872,390.0357163
0.07656504248,391.8331453
0.07739817591,393.5917568
0.07823108446,395.3381647
0.07906401799,397.0820869
0.07989672664,398.7972102
0.08072983508,400.5206743
0.08156254373,402.2151879
0.08239567716,403.8758178
0.08322858571,405.5808967
0.08406151924,407.2512501
0.08489442779,408.8831051
0.08572756122,410.5254942
0.08656004498,412.1435197
0.08739337831,413.756943
0.08822608696,415.3515491
0.08905922039,416.94784
0.08989192904,418.5238073
0.09072483758,420.0724785
0.09155797101,421.6331027
0.09239087956,423.1566311
0.09322358821,424.7036636
0.09405672164,426.2146371
0.09488943028,427.7085204
0.09572256372,429.1980274
0.09655527236,430.6736488
0.09738818091,432.1401788
0.09822088956,433.5878219
0.09905402299,435.0292412
0.09988693153,436.4821045
0.100720065,437.9058821
0.1015527736,439.3103261
0.1023858821,440.7101924
0.1032185907,442.1003187
0.1040517241,443.4924313
0.1048844328,444.8639889
0.1057173413,446.2279515
0.1065502749,447.576523
0.1073831834,448.9050184
0.108216092,450.2519819
0.1090492254,451.5806967
0.109881934,452.8800341
0.1107150675,454.1933604
0.1115477761,455.4805521
0.1123808846,456.7600317
0.1132135932,458.0201556
0.1140465267,459.2830756
0.1148794353,460.5342753
0.1157123438,461.7688523
0.1165452774,463.0109889
0.1173784108,464.2438773
