n,A
1,1
2,0.4933061121
3,0.009864676869
4,0.2537353882
5,0.1974742091
6,0.0101176173
7,0.1482592278
8,0.1210861985
9,0.009141989919
10,0.1057291008
11,0.08551193337
12,0.00702813059
13,0.08307286491
14,0.06961282047
15,0.007642414497
16,0.07058844785
17,0.05487000668
18,0.007660481671
19,0.05727294079
20,0.04430071004
21,0.009178124266
22,0.05013640716
23,0.04027173029
24,0.01183399881
25,0.04677591284
26,0.03495998121
27,0.009882744042
28,0.04177130571
29,0.03040705342
30,0.006522249724
31,0.03667636272
32,0.02921461996
33,0.01006341578
34,0.03580913838
35,0.02520370738
36,0.009900811216
37,0.03557426512
38,0.02421001283
39,0.009611736436
40,0.03383981644
41,0.0187898607
42,0.01199660337
43,0.03094906864
44,0.01972935374
45,0.01208693924
46,0.03127427776
47,0.01855498744
48,0.009087788397
49,0.02757050715
50,0.01812137527
51,0.009828542521
52,0.03091293429
53,0.01687474028
54,0.01102097599
55,0.02840159714
56,0.01501382139
57,0.01340584292
58,0.03028058321
59,0.014869284
