n,A
1,1
2,0.4980620633
3,0.1117337744
4,0.001900906016
5,0.03828967833
6,0.05445972301
7,0.01876218925
8,0.001061544918
9,0.01579973832
10,0.01965092453
11,0.01036857827
12,0.0002221838201
13,0.009060162441
14,0.009627965537
15,0.003505566939
16,0.0011109191
17,0.004863356951
18,0.00219715111
19,0.004542424766
20,0.002394647839
21,0.001876218925
22,0.002172464019
23,0.002394647839
24,0.0004937418224
25,0.002295899474
26,0.002049028563
27,0.004863356951
28,0.0005924901869
29,0.001036857827
30,0.004073370035
31,0.001999654381
32,0.000419680549
33,0.004739921495
34,0.001530599649
35,0.00330807021
36,0.00330807021
37,0.0009381094626
38,0.001259041647
39,0.00197496729
40,0.00397462167
41,0.0011109191
42,0.001678722196
43,0.0008640481892
44,0.001654035105
45,0.001900906016
46,0.001234354556
47,0.001407164194
48,0.004369615128
49,0.002394647839
50,0.004888044042
51,0.002814328388
52,0.003826499124
53,0.002518083294
54,0.002444022021
55,0.003579628212
56,0.0008393610981
57,0.004369615128
58,0.003431505666
59,0.002987138026
60,0.003456192757
